scheme,k,year,mean_ret,hit_rate,bad_rate,gt10,gt20,gt30,n
top20pct_weight_2x,20,2025,0.11938137,0.5905701754385965,0.4081140350877193,0.3875,0.25723684210526315,0.16557017543859648,4560
top20pct_weight_2x,50,2020,0.076625966,0.49496503496503497,0.5044755244755245,0.333006993006993,0.21734265734265734,0.14461538461538462,7150
top20pct_weight_2x,50,2021,0.08248485,0.5046090534979424,0.49407407407407405,0.35662551440329215,0.2553086419753086,0.18041152263374485,12150
top20pct_weight_2x,50,2022,0.058512926,0.5255371900826447,0.4732231404958678,0.33008264462809916,0.20413223140495868,0.13033057851239668,12100
top20pct_weight_2x,50,2023,0.023000276,0.42165289256198346,0.576694214876033,0.23016528925619834,0.12760330578512397,0.07429752066115702,12100
top20pct_weight_2x,50,2024,0.11129082,0.5809090909090909,0.4175206611570248,0.4124793388429752,0.27942148760330576,0.17942148760330578,12100
top20pct_weight_2x,50,2025,0.1207887,0.6040350877192983,0.39482456140350874,0.3993859649122807,0.2624561403508772,0.17307017543859649,11400
top20pct_weight_2x,100,2020,0.06406323,0.5011888111888112,0.4979020979020979,0.3324475524475525,0.2167132867132867,0.14293706293706293,14300
top20pct_weight_2x,100,2021,0.077203035,0.5044032921810699,0.49448559670781894,0.3470781893004115,0.24209876543209877,0.1703292181069959,24300
top20pct_weight_2x,100,2022,0.04338617,0.5079752066115703,0.4903305785123967,0.30611570247933884,0.18648760330578512,0.11702479338842975,24200
top20pct_weight_2x,100,2023,0.009278501,0.41165289256198345,0.5864462809917356,0.21508264462809917,0.1131404958677686,0.060950413223140494,24200
top20pct_weight_2x,100,2024,0.09728822,0.5757851239669421,0.42272727272727273,0.39590909090909093,0.2533884297520661,0.1571487603305785,24200
top20pct_weight_2x,100,2025,0.12224541,0.6198245614035087,0.3787719298245614,0.4038157894736842,0.2600877192982456,0.17043859649122808,22800
top10pct_3x_top20pct_2x,20,2020,0.10113807,0.4811188811188811,0.5181818181818182,0.3241258741258741,0.22132867132867132,0.15384615384615385,2860
top10pct_3x_top20pct_2x,20,2021,0.111910835,0.5318930041152263,0.46646090534979423,0.39094650205761317,0.2895061728395062,0.21337448559670782,4860
top10pct_3x_top20pct_2x,20,2022,0.074553095,0.5167355371900827,0.4816115702479339,0.32086776859504135,0.20537190082644627,0.1347107438016529,4840
top10pct_3x_top20pct_2x,20,2023,0.0559053,0.42747933884297523,0.5714876033057851,0.2384297520661157,0.1541322314049587,0.1012396694214876,4840
top10pct_3x_top20pct_2x,20,2024,0.1316085,0.5799586776859504,0.4190082644628099,0.4353305785123967,0.30454545454545456,0.2097107438016529,4840
top10pct_3x_top20pct_2x,20,2025,0.12101387,0.5932017543859649,0.40635964912280703,0.3932017543859649,0.2574561403508772,0.16644736842105262,4560
top10pct_3x_top20pct_2x,50,2020,0.08137014,0.5065734265734265,0.49272727272727274,0.3490909090909091,0.23440559440559441,0.15804195804195803,7150
top10pct_3x_top20pct_2x,50,2021,0.09307298,0.5193415637860083,0.4794238683127572,0.3648559670781893,0.26164609053497945,0.18995884773662552,12150
top10pct_3x_top20pct_2x,50,2022,0.05566106,0.5216528925619834,0.4762809917355372,0.3250413223140496,0.2043801652892562,0.13190082644628098,12100
top10pct_3x_top20pct_2x,50,2023,0.026733747,0.41198347107438016,0.5865289256198347,0.23214876033057852,0.13900826446280992,0.08471074380165289,12100
top10pct_3x_top20pct_2x,50,2024,0.114942595,0.5763636363636364,0.4224793388429752,0.41024793388429753,0.2790909090909091,0.18479338842975207,12100
top10pct_3x_top20pct_2x,50,2025,0.11886856,0.6032456140350877,0.3957894736842105,0.4073684210526316,0.2649122807017544,0.1756140350877193,11400
top10pct_3x_top20pct_2x,100,2020,0.06978545,0.5102797202797202,0.4886013986013986,0.34692307692307695,0.2274825174825175,0.1511888111888112,14300
top10pct_3x_top20pct_2x,100,2021,0.07908614,0.5113168724279835,0.4871604938271605,0.3488888888888889,0.24098765432098765,0.1688065843621399,24300
top10pct_3x_top20pct_2x,100,2022,0.04518686,0.5127272727272727,0.48504132231404956,0.3124793388429752,0.19049586776859503,0.11822314049586777,24200
top10pct_3x_top20pct_2x,100,2023,0.006841731,0.4009504132231405,0.5971074380165289,0.20909090909090908,0.11524793388429752,0.06223140495867768,24200
top10pct_3x_top20pct_2x,100,2024,0.10681415,0.5706611570247934,0.42793388429752066,0.3952892561983471,0.2642148760330579,0.17070247933884297,24200
top10pct_3x_top20pct_2x,100,2025,0.119940035,0.6146052631578948,0.38421052631578945,0.40442982456140353,0.26206140350877194,0.1731578947368421,22800
