trade_date,instrument,name,industry,score,score_rank_pct,label_value,amount_log,rps_60d,ret_60d,ret_120d,price_percentile_252d,pe_rank_252d,pb_rank_252d,trend_smoothness_60d,industry_ret_20d,industry_ret_60d,industry_ret_120d,industry_breadth_20d,industry_breadth_60d,industry_volume_expansion,stock_minus_industry_ret_20d,stock_minus_industry_ret_60d,industry_top_stock_momentum,type
2020-12-22,600010.SH,包钢股份,普钢,-0.4813,0.3333,2.1639,19.6261,0.5494,-0.0085,0.0841,0.3988,0.6389,0.3909,-0.0166,-0.0039,-0.0001,0.0004,0.3833,0.4007,1.7179,-0.0033,-0.0010,0.0404,high_score
2021-01-21,600010.SH,包钢股份,普钢,-0.7403,0.0500,1.3710,21.3599,0.5342,0.0690,0.0598,0.9385,0.9841,0.9405,0.1200,0.0004,0.0008,0.0001,0.4222,0.4370,0.7802,0.0632,0.0302,0.0461,high_score
2021-03-31,600011.SH,华能国际,火力发电,-0.5952,0.1429,1.3753,19.7228,0.4169,-0.0350,-0.1818,0.4008,0.0198,0.5595,-0.0337,0.0088,0.0025,0.0014,0.6036,0.4669,2.5953,-0.1241,-0.1909,0.0301,high_score
2024-12-12,600021.SH,上海电力,火力发电,2.1521,0.9714,1.3940,19.6284,0.2679,0.1813,-0.0449,0.7540,0.4286,0.5040,0.2070,0.0013,0.0028,-0.0001,0.5300,0.5344,0.9185,-0.0683,0.0049,0.0303,missed
2025-01-02,600021.SH,上海电力,火力发电,1.6642,0.8701,1.2489,19.7137,0.6143,-0.0056,-0.1050,0.4246,0.1548,0.1825,-0.0075,-0.0017,-0.0005,-0.0009,0.4267,0.4622,0.8448,-0.0229,0.0304,0.0462,missed
2025-02-21,600021.SH,上海电力,火力发电,1.8414,0.9184,2.0786,19.7115,0.1784,-0.1113,-0.0101,0.3274,0.1806,0.2044,-0.1923,0.0002,-0.0012,-0.0001,0.3929,0.4121,0.6997,0.0010,-0.0387,0.0344,missed
2025-03-12,600021.SH,上海电力,火力发电,1.8572,0.9130,1.2304,19.8562,0.4209,-0.0512,0.0695,0.4643,0.3651,0.3333,-0.0898,0.0003,-0.0013,0.0004,0.4076,0.3921,0.9931,0.0300,0.0292,0.0237,missed
2025-04-02,600021.SH,上海电力,火力发电,1.7070,0.9167,1.2355,19.7325,0.5207,-0.0213,-0.0517,0.4425,0.0040,0.4246,-0.0430,0.0025,-0.0003,-0.0004,0.5233,0.4143,1.2279,-0.0039,0.0007,0.0057,missed
2025-05-21,600021.SH,上海电力,火力发电,1.0042,0.6579,1.2892,19.6765,0.7189,0.0408,-0.0765,0.4841,0.1210,0.3234,0.0819,0.0024,0.0011,0.0001,0.5300,0.5033,1.1030,0.0008,-0.0237,0.0156,missed
2025-06-03,600021.SH,上海电力,火力发电,1.0509,0.7353,1.4659,19.3262,0.5997,-0.0011,-0.0707,0.2540,0.0397,0.3294,-0.0022,0.0015,0.0011,0.0002,0.4767,0.5011,0.9841,-0.0436,-0.0657,0.0202,missed
2025-07-01,600021.SH,上海电力,火力发电,0.8011,0.7069,1.1180,19.5439,0.3990,-0.0409,-0.0502,0.3810,0.1131,0.4444,-0.0854,-0.0002,0.0001,-0.0001,0.4433,0.4689,0.9355,0.0149,-0.0418,0.0322,missed
2021-11-30,600026.SH,中远海能,水运,1.0207,0.7241,1.8697,19.8299,0.7720,0.1151,-0.0327,0.2401,0.2401,0.2857,0.0788,0.0024,-0.0013,0.0000,0.4200,0.4383,0.5829,0.0637,0.2121,0.0378,missed
2021-12-09,600026.SH,中远海能,水运,1.2505,0.8421,1.7852,19.5884,0.6572,0.0401,-0.0165,0.2738,0.2738,0.3492,0.0276,0.0038,-0.0017,-0.0002,0.4700,0.4283,0.6831,-0.0008,0.1588,0.0321,missed
2022-01-28,600026.SH,中远海能,水运,1.4028,0.7333,2.2729,18.4887,0.4197,-0.0673,-0.0135,0.0437,0.0437,0.0397,-0.0684,-0.0034,-0.0007,-0.0008,0.3700,0.4067,0.8480,-0.0476,-0.0095,0.0133,missed
2022-02-08,600026.SH,中远海能,水运,1.4776,0.9474,2.2465,19.3491,0.6248,0.0304,0.1383,0.2956,0.2956,0.3075,0.0290,-0.0009,0.0010,0.0002,0.3900,0.4333,0.8400,-0.0343,-0.0158,0.0132,missed
2025-06-11,600026.SH,中远海能,水运,-0.3215,0.1224,1.3465,19.1565,0.3061,-0.1012,-0.2044,0.0675,0.0675,0.0357,-0.1462,0.0005,0.0005,-0.0002,0.4600,0.4833,1.5990,-0.0493,-0.1201,0.0220,high_score
2025-07-07,600026.SH,中远海能,水运,-0.8662,0.0244,1.4727,18.8906,0.3400,0.0270,-0.1170,0.1190,0.1190,0.0913,0.0377,-0.0001,0.0012,0.0001,0.4200,0.4700,1.0978,0.0186,-0.0357,0.0268,high_score
2025-08-18,600026.SH,中远海能,水运,-0.5757,0.1154,1.2418,19.3639,0.2058,-0.0010,-0.1165,0.0813,0.0813,0.1944,-0.0021,-0.0001,0.0000,0.0004,0.4200,0.4300,0.9274,-0.0060,0.0024,0.0230,high_score
