dataset,group,total_n,top5_n,top5_mean_ret,top5_fp_rate,top5_bw_rate
monthly,百货,114,35,-0.037532486,0.8,0.08571428571428572
monthly,石油开采,383,50,0.095711574,0.66,0.02
monthly,矿物制品,171,21,0.3715636,0.47619047619047616,0.2857142857142857
monthly,综合类,57,13,0.12776132,0.38461538461538464,0.0
monthly,航空,848,85,0.46417093,0.4823529411764706,0.21176470588235294
monthly,船舶,228,18,0.17491126,0.4444444444444444,0.0
monthly,证券,2451,12,0.11033893,0.4166666666666667,0.0
monthly,路桥,171,12,0.15160443,0.4166666666666667,0.0
monthly,软件服务,1551,237,0.27422184,0.39662447257383965,0.16033755274261605
monthly,软饮料,109,13,0.3358906,0.15384615384615385,0.07692307692307693
monthly,轻工机械,57,10,0.24179459,0.1,0.1
monthly,运输设备,333,46,0.14610639,0.43478260869565216,0.043478260869565216
monthly,通信设备,1194,172,0.35070598,0.5290697674418605,0.1744186046511628
monthly,造纸,57,13,0.0003493245,0.8461538461538461,0.0
monthly,酒店餐饮,57,22,-0.08757338,0.7727272727272727,0.0
monthly,铁路,219,21,-0.04779281,1.0,0.0
monthly,铅锌,171,19,0.23721482,0.3157894736842105,0.10526315789473684
monthly,铜,456,41,0.21297845,0.3902439024390244,0.07317073170731707
monthly,铝,285,14,0.25646216,0.5714285714285714,0.21428571428571427
monthly,陶瓷,57,20,0.12436028,0.65,0.1
monthly,食品,509,80,0.121582195,0.65,0.0875
monthly,饲料,253,25,0.047510214,0.56,0.0
monthly,黄金,285,13,0.22709695,0.46153846153846156,0.3076923076923077
